# time RePsi4 ImPsi4 AbsPsi4
1.117125000000000057e+02 -4.368300776457815825e-06 7.865449302611082717e-22 4.368300776457815825e-06
1.118250000000000028e+02 -4.354004265664271888e-06 7.978499852727809365e-22 4.354004265664271888e-06
1.119375000000000000e+02 -4.339593785489565279e-06 7.638226125454718416e-22 4.339593785489565279e-06
1.120499999999999972e+02 -4.324687607041535012e-06 7.876964273425824673e-22 4.324687607041535012e-06
1.121624999999999943e+02 -4.309769742868192196e-06 6.773248451659767577e-22 4.309769742868192196e-06
1.122750000000000057e+02 -4.294664226859105894e-06 7.012965538071896600e-22 4.294664226859105894e-06
1.123875000000000028e+02 -4.279448806510183474e-06 7.428113321239502406e-22 4.279448806510183474e-06
1.125000000000000000e+02 -4.263517314411844196e-06 7.980431231655594647e-22 4.263517314411844196e-06
1.126124999999999972e+02 -4.247867095434470499e-06 7.437941214358958133e-22 4.247867095434470499e-06
1.127249999999999943e+02 -4.232148010526829912e-06 6.882791242214675823e-22 4.232148010526829912e-06
1.128375000000000057e+02 -4.216325424987395287e-06 7.469155061543837433e-22 4.216325424987395287e-06
1.129500000000000028e+02 -4.199633568414098524e-06 7.441276737218086333e-22 4.199633568414098524e-06
1.130625000000000000e+02 -4.183460468622534499e-06 7.139687918186791669e-22 4.183460468622534499e-06
1.131749999999999972e+02 -4.167322731685271125e-06 7.030961982791942956e-22 4.167322731685271125e-06
1.132874999999999943e+02 -4.151098937305106994e-06 7.382641345862899821e-22 4.151098937305106994e-06
1.134000000000000057e+02 -4.133936533571632673e-06 7.324290621782682235e-22 4.133936533571632673e-06
1.135125000000000028e+02 -4.117460505107807975e-06 8.680895489672369817e-22 4.117460505107807975e-06
1.136250000000000000e+02 -4.101105729755202221e-06 7.274723969539626409e-22 4.101105729755202221e-06
1.137374999999999972e+02 -4.084698499671739263e-06 6.322344403307166671e-22 4.084698499671739263e-06
1.138499999999999943e+02 -4.067368612298510794e-06 7.618140180836840447e-22 4.067368612298510794e-06
1.139625000000000057e+02 -4.050821119772437603e-06 6.174148031531152568e-22 4.050821119772437603e-06
1.140750000000000028e+02 -4.034462011037236864e-06 5.640161752574272456e-22 4.034462011037236864e-06
1.141875000000000000e+02 -4.018100190370651204e-06 6.043101284338812869e-22 4.018100190370651204e-06
1.142999999999999972e+02 -4.000906511061672151e-06 7.137837766632812747e-22 4.000906511061672151e-06
1.144124999999999943e+02 -3.984526490794925901e-06 6.761971714788932668e-22 3.984526490794925901e-06
1.145250000000000057e+02 -3.968384545970341608e-06 5.344078936029312539e-22 3.968384545970341608e-06
1.146375000000000028e+02 -3.952300609509356731e-06 5.046887786827434121e-22 3.952300609509356731e-06
1.147500000000000000e+02 -3.935533832579812436e-06 5.035657730932094397e-22 3.935533832579812436e-06
1.148624999999999972e+02 -3.919557194749064341e-06 6.148629387178911468e-22 3.919557194749064341e-06
1.149749999999999943e+02 -3.903852192904795741e-06 5.952944595236001478e-22 3.903852192904795741e-06
1.150875000000000057e+02 -3.888268160560148200e-06 5.504991973227976529e-22 3.888268160560148200e-06
1.152000000000000028e+02 -3.872191332723899200e-06 6.523328166990977667e-22 3.872191332723899200e-06
1.153125000000000000e+02 -3.856835048308828366e-06 6.012512120234500328e-22 3.856835048308828366e-06
1.154249999999999972e+02 -3.841768058368395983e-06 5.304011924210651011e-22 3.841768058368395983e-06
1.155374999999999943e+02 -3.826877432017234608e-06 5.408648630916557576e-22 3.826877432017234608e-06
1.156500000000000057e+02 -3.811710785316176984e-06 5.049207224580689488e-22 3.811710785316176984e-06
1.157625000000000028e+02 -3.797154561425376623e-06 4.447807425897837866e-22 3.797154561425376623e-06
1.158750000000000000e+02 -3.782888405450136600e-06 3.846543336363906351e-22 3.782888405450136600e-06
1.159874999999999972e+02 -3.768838166149742702e-06 3.655047202349521355e-22 3.768838166149742702e-06
1.160999999999999943e+02 -3.754744610825989748e-06 3.264556384731844668e-22 3.754744610825989748e-06
1.162125000000000057e+02 -3.741114130798318249e-06 3.614260164343843776e-22 3.741114130798318249e-06
1.163250000000000028e+02 -3.727756217563144361e-06 3.477790623194434610e-22 3.727756217563144361e-06
1.164375000000000000e+02 -3.714633103432092990e-06 2.711621468212588517e-22 3.714633103432092990e-06
1.165499999999999972e+02 -3.701706317097743796e-06 2.856266990295558327e-22 3.701706317097743796e-06
1.166624999999999943e+02 -3.689061775488788734e-06 2.583839046105080506e-22 3.689061775488788734e-06
1.167750000000000057e+02 -3.676653460767393257e-06 2.577376269354417792e-22 3.676653460767393257e-06
1.168875000000000028e+02 -3.664477572778725439e-06 2.707073106746095954e-22 3.664477572778725439e-06
1.170000000000000000e+02 -3.652735053376467795e-06 1.844078941031937616e-22 3.652735053376467795e-06
1.171124999999999972e+02 -3.641067265631536659e-06 2.978093192338745850e-22 3.641067265631536659e-06
1.172249999999999943e+02 -3.629581744363679737e-06 1.709367799174327610e-22 3.629581744363679737e-06
1.173375000000000057e+02 -3.618308251834771418e-06 1.663799613935762454e-22 3.618308251834771418e-06
1.174500000000000028e+02 -3.607690747295681617e-06 5.373712068802592798e-23 3.607690747295681617e-06
1.175625000000000000e+02 -3.596925229204244380e-06 7.187674103662682465e-23 3.596925229204244380e-06
1.176749999999999972e+02 -3.586273885667560962e-06 1.571251917838751224e-23 3.586273885667560962e-06
